Group,Transition,Source_Stage,Target_Stage,Case,Orig_FPG,CF_FPG_mean,Proximity,Diversity,Feasibility,Sparsity,N_eligible
Young Male,Diabetes → IFG,Diabetes (≥126),IFG (100–125),1,133.0,104.92,0.1548,0.3095,0.9649,0.0538,12
Young Male,Diabetes → IFG,Diabetes (≥126),IFG (100–125),2,144.0,101.49,0.1463,0.1623,0.9649,0.0538,12
Young Male,Diabetes → IFG,Diabetes (≥126),IFG (100–125),3,144.0,103.31,0.1453,0.1676,0.9825,0.0538,12
Young Male,IFG → Normal,IFG (100–125),Normal (<100),1,104.0,96.5,0.0861,0.1723,1.0,0.043,58
Young Male,IFG → Normal,IFG (100–125),Normal (<100),2,104.0,94.73,0.142,0.284,0.9474,0.0645,58
Young Male,IFG → Normal,IFG (100–125),Normal (<100),3,104.0,94.76,0.0806,0.1612,0.9474,0.0538,58
Young Female,Diabetes → IFG,Diabetes (≥126),IFG (100–125),1,149.0,103.78,0.0568,0.1136,0.9825,0.043,4
Young Female,Diabetes → IFG,Diabetes (≥126),IFG (100–125),2,234.0,105.74,0.1166,0.2333,0.9649,0.0538,4
Young Female,Diabetes → IFG,Diabetes (≥126),IFG (100–125),3,133.0,104.02,0.1493,0.1183,1.0,0.0645,4
Young Female,IFG → Normal,IFG (100–125),Normal (<100),1,105.0,93.94,0.1235,0.2253,1.0,0.043,35
Young Female,IFG → Normal,IFG (100–125),Normal (<100),2,105.0,91.78,0.2079,0.1261,1.0,0.0538,35
Young Female,IFG → Normal,IFG (100–125),Normal (<100),3,104.0,89.78,0.0977,0.1954,0.9825,0.0538,35
Middle-aged Male,Diabetes → IFG,Diabetes (≥126),IFG (100–125),1,143.0,102.94,0.0854,0.1708,0.9825,0.0538,89
Middle-aged Male,Diabetes → IFG,Diabetes (≥126),IFG (100–125),2,143.0,107.92,0.097,0.1939,1.0,0.0323,89
Middle-aged Male,Diabetes → IFG,Diabetes (≥126),IFG (100–125),3,143.0,113.07,0.1534,0.3068,0.9825,0.0538,89
Middle-aged Male,IFG → Normal,IFG (100–125),Normal (<100),1,106.0,97.29,0.4522,0.1644,0.9474,0.2151,266
Middle-aged Male,IFG → Normal,IFG (100–125),Normal (<100),2,106.0,96.79,0.45,0.3445,0.8596,0.2258,266
Middle-aged Male,IFG → Normal,IFG (100–125),Normal (<100),3,106.0,99.44,0.2404,0.2255,1.0,0.1075,266
Middle-aged Female,Diabetes → IFG,Diabetes (≥126),IFG (100–125),1,145.0,119.58,0.1327,0.1797,0.9825,0.043,49
Middle-aged Female,Diabetes → IFG,Diabetes (≥126),IFG (100–125),2,145.0,104.82,0.1019,0.1811,1.0,0.0645,49
Middle-aged Female,Diabetes → IFG,Diabetes (≥126),IFG (100–125),3,145.0,101.16,0.0437,0.0873,0.9825,0.0323,49
Middle-aged Female,IFG → Normal,IFG (100–125),Normal (<100),1,106.0,98.43,0.0927,0.1854,0.9649,0.043,232
Middle-aged Female,IFG → Normal,IFG (100–125),Normal (<100),2,106.0,98.5,0.1413,0.2826,0.9649,0.0538,232
Middle-aged Female,IFG → Normal,IFG (100–125),Normal (<100),3,106.0,99.17,0.0759,0.1519,0.9825,0.0323,232
Elderly Male,Diabetes → IFG,Diabetes (≥126),IFG (100–125),1,139.0,117.79,0.1476,0.2951,0.9298,0.0538,84
Elderly Male,Diabetes → IFG,Diabetes (≥126),IFG (100–125),2,139.0,106.67,0.048,0.0915,0.9649,0.0538,84
Elderly Male,Diabetes → IFG,Diabetes (≥126),IFG (100–125),3,140.0,110.43,0.1537,0.2102,0.9474,0.0538,84
Elderly Male,IFG → Normal,IFG (100–125),Normal (<100),1,107.0,98.79,0.6872,0.6539,0.8421,0.2688,206
Elderly Male,IFG → Normal,IFG (100–125),Normal (<100),2,107.0,98.9,0.8588,0.7395,0.8421,0.3548,206
Elderly Male,IFG → Normal,IFG (100–125),Normal (<100),3,107.0,98.95,1.3746,0.6759,0.7719,0.3763,206
Elderly Female,Diabetes → IFG,Diabetes (≥126),IFG (100–125),1,138.0,109.47,0.0585,0.1169,0.9649,0.0645,70
Elderly Female,Diabetes → IFG,Diabetes (≥126),IFG (100–125),2,139.0,104.11,0.0643,0.1287,0.9649,0.0645,70
Elderly Female,Diabetes → IFG,Diabetes (≥126),IFG (100–125),3,137.0,110.72,0.2132,0.4199,0.9649,0.0645,70
Elderly Female,IFG → Normal,IFG (100–125),Normal (<100),1,107.0,99.82,0.7765,0.2503,0.7544,0.3871,222
Elderly Female,IFG → Normal,IFG (100–125),Normal (<100),2,107.0,99.37,0.4887,0.0659,0.8947,0.2258,222
Elderly Female,IFG → Normal,IFG (100–125),Normal (<100),3,107.0,99.29,0.1393,0.0879,0.9649,0.086,222
