Group,Algorithm,HO_RMSE,CV_RMSE_mean,CV_RMSE_std,Gap,G2a_verdict,Reference,dimension,Temporal_RMSE,Delta,Direction,G2b_verdict,RMSE_base,RMSE_drop_mean,RMSE_drop_std,G2c_verdict
Young Male,LGBM,18.386,15.1107,3.977,3.2753,✗ Risk,Varma & Simon (2006); nested CV stability criterion,G2a_CV_Stability,,,,,,,,
Young Female,LGBM,15.8624,12.8839,2.4338,2.9785,✗ Risk,Varma & Simon (2006); nested CV stability criterion,G2a_CV_Stability,,,,,,,,
Middle-aged Male,LGBM,25.9668,25.1956,2.0116,0.7712,✓ OK,Varma & Simon (2006); nested CV stability criterion,G2a_CV_Stability,,,,,,,,
Middle-aged Female,XGB,17.3049,19.7553,1.7777,2.4504,✗ Risk,Varma & Simon (2006); nested CV stability criterion,G2a_CV_Stability,,,,,,,,
Elderly Male,LGBM,21.4421,25.5796,3.2447,4.1375,✗ Risk,Varma & Simon (2006); nested CV stability criterion,G2a_CV_Stability,,,,,,,,
Elderly Female,RF,20.1553,21.8464,1.0217,1.6911,△ Caution,Varma & Simon (2006); nested CV stability criterion,G2a_CV_Stability,,,,,,,,
Young Male,LGBM,18.386,,,,,Nestor et al. (2019); degradation-only judgement,G2b_Temporal,19.6918,1.3058,Degraded,Risk,,,,
Young Female,LGBM,15.8624,,,,,Nestor et al. (2019); degradation-only judgement,G2b_Temporal,10.2477,-5.6147,Improved,OK,,,,
Middle-aged Male,LGBM,25.9668,,,,,Nestor et al. (2019); degradation-only judgement,G2b_Temporal,23.9803,-1.9865,Improved,OK,,,,
Middle-aged Female,XGB,17.3049,,,,,Nestor et al. (2019); degradation-only judgement,G2b_Temporal,19.0526,1.7477,Degraded,Risk,,,,
Elderly Male,LGBM,21.4421,,,,,Nestor et al. (2019); degradation-only judgement,G2b_Temporal,24.3774,2.9353,Degraded,Risk,,,,
Elderly Female,RF,20.1553,,,,,Nestor et al. (2019); degradation-only judgement,G2b_Temporal,21.3671,1.2118,Degraded,Risk,,,,
Young Male,LGBM,,,,,,"±10% Gaussian noise, 5 repeats",G2c_Perturbation,,,,,18.386,0.0875,0.0374,✓ OK
Young Female,LGBM,,,,,,"±10% Gaussian noise, 5 repeats",G2c_Perturbation,,,,,15.8624,0.1005,0.0849,✓ OK
Middle-aged Male,LGBM,,,,,,"±10% Gaussian noise, 5 repeats",G2c_Perturbation,,,,,25.9668,0.0737,0.0648,✓ OK
Middle-aged Female,XGB,,,,,,"±10% Gaussian noise, 5 repeats",G2c_Perturbation,,,,,17.3049,0.6122,0.1076,✓ OK
Elderly Male,LGBM,,,,,,"±10% Gaussian noise, 5 repeats",G2c_Perturbation,,,,,21.4421,0.1086,0.0704,✓ OK
Elderly Female,RF,,,,,,"±10% Gaussian noise, 5 repeats",G2c_Perturbation,,,,,20.1553,0.1583,0.0931,✓ OK
