Group,Transition,Source_Stage,Target_Stage,Case,Orig_FPG,CF_FPG_mean,Proximity_Euclid,Proximity_Maha,Diversity,Feasibility,Sparsity,N_eligible
Young Male,Diabetes → IFG,Diabetes (>=126),IFG (100-125),1,134.0,105.4,0.1751,19.1833,0.3502,0.9825,0.0323,8
Young Male,Diabetes → IFG,Diabetes (>=126),IFG (100-125),2,142.0,102.17,0.2157,14.5887,0.3256,0.9825,0.0538,8
Young Male,Diabetes → IFG,Diabetes (>=126),IFG (100-125),3,144.0,103.43,0.0944,5.0019,0.1377,0.9474,0.043,8
Young Male,IFG → Normal,IFG (100-125),Normal (<100),1,104.0,92.32,0.0998,7.9363,0.1995,0.9825,0.0323,125
Young Male,IFG → Normal,IFG (100-125),Normal (<100),2,104.0,98.79,0.0268,1.8938,0.0537,0.9825,0.043,125
Young Male,IFG → Normal,IFG (100-125),Normal (<100),3,104.0,96.97,0.0975,6.6247,0.195,0.9474,0.0538,125
Young Female,Diabetes → IFG,Diabetes (>=126),IFG (100-125),1,173.0,104.99,0.1115,4.5402,0.2231,0.9474,0.0538,9
Young Female,Diabetes → IFG,Diabetes (>=126),IFG (100-125),2,158.0,113.23,0.0548,4.7527,0.1095,0.9825,0.0538,9
Young Female,Diabetes → IFG,Diabetes (>=126),IFG (100-125),3,155.0,103.68,0.2585,14.246,0.517,0.9825,0.0538,9
Young Female,IFG → Normal,IFG (100-125),Normal (<100),1,107.0,89.74,0.185,15.4464,0.3701,0.9825,0.0538,70
Young Female,IFG → Normal,IFG (100-125),Normal (<100),2,106.0,87.93,0.1541,10.3837,0.3082,0.9825,0.0538,70
Young Female,IFG → Normal,IFG (100-125),Normal (<100),3,107.0,92.77,0.112,10.0591,0.2239,0.9474,0.0538,70
Middle-aged Male,Diabetes → IFG,Diabetes (>=126),IFG (100-125),1,147.0,108.87,0.1687,15.3065,0.3373,0.9298,0.0538,137
Middle-aged Male,Diabetes → IFG,Diabetes (>=126),IFG (100-125),2,147.0,114.27,0.0432,1.932,0.0865,0.9825,0.0323,137
Middle-aged Male,Diabetes → IFG,Diabetes (>=126),IFG (100-125),3,146.0,109.4,0.0807,4.7591,0.1614,0.9825,0.043,137
Middle-aged Male,IFG → Normal,IFG (100-125),Normal (<100),1,107.0,95.09,0.1445,5.484,0.1341,0.9825,0.043,430
Middle-aged Male,IFG → Normal,IFG (100-125),Normal (<100),2,107.0,99.17,0.1876,6.5501,0.1856,1.0,0.043,430
Middle-aged Male,IFG → Normal,IFG (100-125),Normal (<100),3,107.0,99.31,0.7298,17.1551,0.2005,0.9474,0.2043,430
Middle-aged Female,Diabetes → IFG,Diabetes (>=126),IFG (100-125),1,144.0,102.49,0.1973,17.0123,0.3945,1.0,0.043,93
Middle-aged Female,Diabetes → IFG,Diabetes (>=126),IFG (100-125),2,144.0,104.6,0.1382,9.9811,0.1679,0.9825,0.0538,93
Middle-aged Female,Diabetes → IFG,Diabetes (>=126),IFG (100-125),3,144.0,103.57,0.0814,9.9304,0.1457,0.9649,0.0645,93
Middle-aged Female,IFG → Normal,IFG (100-125),Normal (<100),1,105.0,99.48,0.2287,13.8056,0.3432,0.9825,0.0538,409
Middle-aged Female,IFG → Normal,IFG (100-125),Normal (<100),2,105.0,96.44,0.1028,8.0701,0.2056,0.9474,0.043,409
Middle-aged Female,IFG → Normal,IFG (100-125),Normal (<100),3,105.0,97.22,0.0825,11.0471,0.1273,0.9474,0.0538,409
Elderly Male,Diabetes → IFG,Diabetes (>=126),IFG (100-125),1,145.0,106.58,0.0438,2.8017,0.0876,0.9649,0.0538,116
Elderly Male,Diabetes → IFG,Diabetes (>=126),IFG (100-125),2,145.0,107.18,0.0476,6.9374,0.0787,0.9298,0.043,116
Elderly Male,Diabetes → IFG,Diabetes (>=126),IFG (100-125),3,146.0,105.78,0.1262,13.97,0.2524,0.9649,0.0538,116
Elderly Female,Diabetes → IFG,Diabetes (>=126),IFG (100-125),1,146.0,103.55,0.0488,7.7869,0.0959,0.9825,0.043,130
Elderly Female,Diabetes → IFG,Diabetes (>=126),IFG (100-125),2,146.0,103.73,0.0963,11.8089,0.1926,0.9649,0.043,130
Elderly Female,Diabetes → IFG,Diabetes (>=126),IFG (100-125),3,146.0,107.28,0.1509,6.1688,0.3018,0.9825,0.043,130
Elderly Female,IFG → Normal,IFG (100-125),Normal (<100),1,107.0,97.42,0.4835,13.3356,0.2509,0.9649,0.1183,347
Elderly Female,IFG → Normal,IFG (100-125),Normal (<100),2,107.0,97.87,0.4317,11.95,0.259,0.9825,0.1183,347
Elderly Female,IFG → Normal,IFG (100-125),Normal (<100),3,107.0,98.33,0.4457,19.1239,0.2216,0.9123,0.2473,347
