Group,Algorithm,HO_RMSE,CV_RMSE_mean,CV_RMSE_std,Gap,G2a_verdict,dimension,Temporal_RMSE,Delta,Direction,G2b_verdict,RMSE_base,RMSE_drop_mean,RMSE_drop_std,G2c_verdict
Young Male,LGBM,11.239,16.309,3.305,5.0699,Risk,G2a_CV,,,,,,,,
Young Female,XGB,14.381,13.486,2.412,0.8947,OK,G2a_CV,,,,,,,,
Middle-aged Male,XGB,25.932,26.571,1.505,0.6389,OK,G2a_CV,,,,,,,,
Middle-aged Female,XGB,21.189,20.087,1.352,1.1017,Caution,G2a_CV,,,,,,,,
Elderly Male,RF,26.296,25.177,0.938,1.1195,Caution,G2a_CV,,,,,,,,
Elderly Female,XGB,24.417,23.408,1.283,1.0087,Caution,G2a_CV,,,,,,,,
Young Male,LGBM,7.76,,,,,G2b_Temporal,20.611,12.852,degradation,Risk,,,,
Young Female,XGB,7.535,,,,,G2b_Temporal,11.176,3.642,degradation,Risk,,,,
Middle-aged Male,XGB,18.95,,,,,G2b_Temporal,25.274,6.324,degradation,Risk,,,,
Middle-aged Female,XGB,12.628,,,,,G2b_Temporal,19.265,6.637,degradation,Risk,,,,
Elderly Male,RF,21.483,,,,,G2b_Temporal,24.346,2.863,degradation,Caution,,,,
Elderly Female,XGB,16.686,,,,,G2b_Temporal,22.317,5.631,degradation,Risk,,,,
Young Male,LGBM,,,,,,G2c_Perturbation,,,,,11.239,0.0453,0.0393,OK
Young Female,XGB,,,,,,G2c_Perturbation,,,,,14.381,0.3341,0.2143,OK
Middle-aged Male,XGB,,,,,,G2c_Perturbation,,,,,25.932,0.2362,0.1019,OK
Middle-aged Female,XGB,,,,,,G2c_Perturbation,,,,,21.189,1.4534,0.1753,Caution
Elderly Male,RF,,,,,,G2c_Perturbation,,,,,26.296,0.0335,0.0206,OK
Elderly Female,XGB,,,,,,G2c_Perturbation,,,,,24.417,0.1287,0.0248,OK
